label,case,source,config,mechanism,tool,shape,n_neg_init,n_neg_final,neg_vol_init,neg_vol_final,n_clusters_init,n_clusters_final,min_jdet_init,min_jdet_final,l2_err,time_s,frac_nonpos_jdet_init,frac_nonpos_jdet_final,sdlogj_init,sdlogj_final,moved_frac,l1_move,l2_move,max_move,mean_move_moved,feasible,simplex_n_neg_init,simplex_n_below_init,simplex_min_init,bilinear_n_neg_init,bilinear_n_below_init,bilinear_min_init,finite_n_neg_init,finite_n_below_init,finite_min_init,jdet_n_neg_init,jdet_n_below_init,jdet_min_init,simplex_n_neg_final,simplex_n_below_final,simplex_min_final,bilinear_n_neg_final,bilinear_n_below_final,bilinear_min_final,finite_n_neg_final,finite_n_below_final,finite_min_final,jdet_n_neg_final,jdet_n_below_final,jdet_min_final,ift_min_radius_init,ift_frac_subpixel_init,ift_min_radius_final,ift_frac_subpixel_final,certified,damage,n_windows,giant_regions,mop_cleared,rounds,sqp_iters,corr_n,corr_resid_med_init,corr_resid_mad_init,corr_resid_med_final,corr_resid_mad_final,corr_n_outliers,corr_n_large,corr_n_high_resid,corr_n_incoherent,error,timing_mode,hit_cap,out_path,sha256
ants_B0032_z0__isqp_none,ants_B0032_z0,ants,isqp_none,,ANTs SyN,3x1x320x456,0,0,0.0,0.0,0,0,1.0,1.0,0.0,0.31516539999938686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0,0.5,0,0,0.5,0,0,1.0,0,0,1.0,0,0,0.5,0,0,0.5,0,0,1.0,0,0,1.0,8.0,0.0,8.0,0.0,True,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\ants_isqp\ants\ants_B0032_z0__isqp_none.npz,9c3c0577e35f46f1cd80a3523be65ee5036afd60a82ec7c24dbe6ae67364164d
ants_B0032_z96__isqp_none,ants_B0032_z96,ants,isqp_none,,ANTs SyN,3x1x320x456,0,0,0.0,0.0,0,0,0.5084553769398802,0.5084553769398802,0.0,0.3211280000032275,0.0,0.0,0.09786555185317306,0.09786555185317306,0.0,0.0,0.0,0.0,0.0,True,0,0,0.25183464569826713,0,0,0.25183464569826713,0,0,0.5092484344811036,0,0,0.5084553769398802,0,0,0.25183464569826713,0,0,0.25183464569826713,0,0,0.5092484344811036,0,0,0.5084553769398802,1.3983960362279735,0.0,1.3983960362279735,0.0,True,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\ants_isqp\ants\ants_B0032_z96__isqp_none.npz,e8370756f03b1cf0800a6284cdb9adb75e3699197c4c72dc22c199751d79a639
ants_B0032_z48__isqp_none,ants_B0032_z48,ants,isqp_none,,ANTs SyN,3x1x320x456,0,0,0.0,0.0,0,0,0.2889659574088284,0.2889659574088284,0.0,0.36100230000010924,0.0,0.0,0.14180723089159747,0.14180723089159747,0.0,0.0,0.0,0.0,0.0,True,0,0,0.14278321365824811,0,0,0.14258815707528916,0,0,0.2855664273164826,0,0,0.2889659574088284,0,0,0.14278321365824811,0,0,0.14258815707528916,0,0,0.2855664273164826,0,0,0.2889659574088284,1.4385862096351474,0.0,1.4385862096351474,0.0,True,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\ants_isqp\ants\ants_B0032_z48__isqp_none.npz,59d5772f2420e890c2418d9b592b97e1eaf375053fd3cf1e1a89b8e5c84b4db6
ants_B0032_z1__isqp_none,ants_B0032_z1,ants,isqp_none,,ANTs SyN,3x1x320x456,0,0,0.0,0.0,0,0,0.9789715006696654,0.9789715006696654,0.0,0.3709945000009611,0.0,0.0,0.003913818001966547,0.003913818001966547,0.0,0.0,0.0,0.0,0.0,True,0,0,0.4892370080642129,0,0,0.4892370080642129,0,0,0.9794623297364898,0,0,0.9789715006696654,0,0,0.4892370080642129,0,0,0.4892370080642129,0,0,0.9794623297364898,0,0,0.9789715006696654,8.0,0.0,8.0,0.0,True,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\ants_isqp\ants\ants_B0032_z1__isqp_none.npz,b233fc02915839baf6cb36ad204f8d23ad4a6adb2eb0eaf21787cdf3a1cf1b84
ants_B0032_z144__isqp_none,ants_B0032_z144,ants,isqp_none,,ANTs SyN,3x1x320x456,0,0,0.0,0.0,0,0,0.5714766144932258,0.5714766144932258,0.0,0.34073820000048727,0.0,0.0,0.11073505534774924,0.11073505534774924,0.0,0.0,0.0,0.0,0.0,True,0,0,0.284174478856651,0,0,0.284174478856651,0,0,0.5710691519784445,0,0,0.5714766144932258,0,0,0.284174478856651,0,0,0.284174478856651,0,0,0.5710691519784445,0,0,0.5714766144932258,3.843372486802263,0.0,3.843372486802263,0.0,True,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\ants_isqp\ants\ants_B0032_z144__isqp_none.npz,12126fd88cc55217311362fda7f6b343d5f46caef2430dc0c35f9e7a01caf75c
ants_B0032_z192__isqp_none,ants_B0032_z192,ants,isqp_none,,ANTs SyN,3x1x320x456,0,0,0.0,0.0,0,0,0.48010969809437576,0.48010969809437576,0.0,0.1900275000007241,0.0,0.0,0.13104516407185676,0.13104516407185676,0.0,0.0,0.0,0.0,0.0,True,0,0,0.23864711300319996,0,0,0.23864711300319996,0,0,0.47986559042023774,0,0,0.48010969809437576,0,0,0.23864711300319996,0,0,0.23864711300319996,0,0,0.47986559042023774,0,0,0.48010969809437576,3.361492796485185,0.0,3.361492796485185,0.0,True,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\ants_isqp\ants\ants_B0032_z192__isqp_none.npz,e9da15a7ad71c797b9a4ddc7c720de7e03c2609e4bc52efd4b2b375d6da56d69
ants_B0032_z240__isqp_none,ants_B0032_z240,ants,isqp_none,,ANTs SyN,3x1x320x456,0,0,0.0,0.0,0,0,0.4379667062005058,0.4379667062005058,0.0,0.3349717999990389,0.0,0.0,0.1410753039200549,0.1410753039200549,0.0,0.0,0.0,0.0,0.0,True,0,0,0.21594523602265864,0,0,0.21594523602265864,0,0,0.43346204826039875,0,0,0.4379667062005058,0,0,0.21594523602265864,0,0,0.21594523602265864,0,0,0.43346204826039875,0,0,0.4379667062005058,2.6426535742124946,0.0,2.6426535742124946,0.0,True,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\ants_isqp\ants\ants_B0032_z240__isqp_none.npz,23aeac321bede5af562a41d7362ef54c46feb043c4f161e6572b4cdee643f505
ants_B0032_z336__isqp_none,ants_B0032_z336,ants,isqp_none,,ANTs SyN,3x1x320x456,0,0,0.0,0.0,0,0,0.608064075496754,0.608064075496754,0.0,0.3667009999990114,0.0,0.0,0.14557536889650277,0.14557536889650277,0.0,0.0,0.0,0.0,0.0,True,0,0,0.30270451835787454,0,0,0.30270451835787454,0,0,0.6093738919313214,0,0,0.608064075496754,0,0,0.30270451835787454,0,0,0.30270451835787454,0,0,0.6093738919313214,0,0,0.608064075496754,2.0714889505479213,0.0,2.0714889505479213,0.0,True,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\ants_isqp\ants\ants_B0032_z336__isqp_none.npz,fad171e1598d09b29611cd15a60ef624930b3f7c622a9b8fe4e03e3d0cf3fca9
ants_B0032_z288__isqp_none,ants_B0032_z288,ants,isqp_none,,ANTs SyN,3x1x320x456,0,0,0.0,0.0,0,0,0.5674875302496246,0.5674875302496246,0.0,0.3756885000002512,0.0,0.0,0.14914954728258958,0.14914954728258958,0.0,0.0,0.0,0.0,0.0,True,0,0,0.2831306590538723,0,0,0.28293940256648437,0,0,0.5672337673371379,0,0,0.5674875302496246,0,0,0.2831306590538723,0,0,0.28293940256648437,0,0,0.5672337673371379,0,0,0.5674875302496246,2.660475804303664,0.0,2.660475804303664,0.0,True,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\ants_isqp\ants\ants_B0032_z288__isqp_none.npz,441e673d6c930c9770423cd873b587478b05b1cb491e0d96ab34f394d13bf5d4
ants_B0032_z384__isqp_none,ants_B0032_z384,ants,isqp_none,,ANTs SyN,3x1x320x456,0,0,0.0,0.0,0,0,0.4053190855056938,0.4053190855056938,0.0,0.197217200002342,0.0,0.0,0.11891453415819604,0.11891453415819604,0.0,0.0,0.0,0.0,0.0,True,0,0,0.19969971520869575,0,0,0.19919594808953836,0,0,0.39939943041737225,0,0,0.4053190855056938,0,0,0.19969971520869575,0,0,0.19919594808953836,0,0,0.39939943041737225,0,0,0.4053190855056938,2.6914058380349672,0.0,2.6914058380349672,0.0,True,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\ants_isqp\ants\ants_B0032_z384__isqp_none.npz,6e6efe06b4114410a2b53b5fa8644fe2d1d4f4bd8b30444035baffea67a98ff8
