label,case,source,config,mechanism,tool,shape,n_neg_init,n_neg_final,neg_vol_init,neg_vol_final,n_clusters_init,n_clusters_final,min_jdet_init,min_jdet_final,l2_err,time_s,frac_nonpos_jdet_init,frac_nonpos_jdet_final,sdlogj_init,sdlogj_final,moved_frac,l1_move,l2_move,max_move,mean_move_moved,feasible,simplex_n_neg_init,simplex_n_below_init,simplex_min_init,bilinear_n_neg_init,bilinear_n_below_init,bilinear_min_init,finite_n_neg_init,finite_n_below_init,finite_min_init,jdet_n_neg_init,jdet_n_below_init,jdet_min_init,simplex_n_neg_final,simplex_n_below_final,simplex_min_final,bilinear_n_neg_final,bilinear_n_below_final,bilinear_min_final,finite_n_neg_final,finite_n_below_final,finite_min_final,jdet_n_neg_final,jdet_n_below_final,jdet_min_final,ift_min_radius_init,ift_frac_subpixel_init,ift_min_radius_final,ift_frac_subpixel_final,certified,damage,n_windows,giant_regions,mop_cleared,rounds,sqp_iters,corr_n,corr_resid_med_init,corr_resid_mad_init,corr_resid_med_final,corr_resid_mad_final,corr_n_outliers,corr_n_large,corr_n_high_resid,corr_n_incoherent,error,timing_mode,hit_cap,out_path,sha256
cohort_B0032_z0__isqp_none,cohort_B0032_z0,cohort,isqp_none,,Laplacian (RegTools),3x1x320x456,4216,0,10752.734665494721,0.0,14,0,-65.33949266403215,0.02202452691149746,1670.0109496641044,406.33427299999676,0.02866639254385965,0.0,1.2079326618113981,0.7564183986360675,0.13903508771929823,150630.8019350746,1670.0109496641044,65.25781486352619,7.42462548970202,True,4427,4509,-83.01363502957429,4508,4584,-83.01363502957429,4180,4222,-83.84443469423786,4183,4216,-65.33949266403215,0,0,0.010928628277828617,0,0,0.010905374118355276,0,0,0.02200005916258744,0,0,0.02202452691149746,4.2361457192854894e-05,0.05729851973684211,0.0002524509409448094,0.09517543859649123,True,0,64,2,0,2,454,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\cohort_isqp\cohort\cohort_B0032_z0__isqp_none.npz,74890bec7ffaa224bcfed4334ac2c660e67f7dffabf02b3d77ea2e417b37d2f5
cohort_B0032_z48__isqp_none,cohort_B0032_z48,cohort,isqp_none,,Laplacian (RegTools),3x1x320x456,118,0,76.314611079838,0.0,50,0,-4.607686112526327,0.02372610850114986,34.94998386031949,50.64693460000126,0.0007058662280701755,0.0,0.21367205310646673,0.1187922994437771,0.08780838815789474,797.8845118306069,34.94998386031949,6.460206557081811,0.062271483011832274,True,307,363,-12.274275842457321,336,389,-12.28811331387179,188,210,-9.39527050487601,103,118,-4.607686112526327,0,0,0.010999999996951337,0,0,0.01099999999560335,0,0,0.021999999998905673,0,0,0.02372610850114986,0.00030707929752045806,0.015145285087719298,0.000996492315380565,0.016248629385964913,True,0,10,1,0,1,49,268.0,0.02554879652277193,0.014994702024205633,0.4800048274003571,0.640963669636988,36.0,21.0,14.0,10.0,,throughput,False,data\dvfs\results\cohort_isqp\cohort\cohort_B0032_z48__isqp_none.npz,d9d78cc84ad87fbe2b58ba7a319cff6642d250bc2099914b8f74a1aa84e9dfb2
cohort_B0032_z1__isqp_none,cohort_B0032_z1,cohort,isqp_none,,Laplacian (RegTools),3x1x320x456,4197,0,16615.928064878233,0.0,25,0,-367.30804119406275,0.022004944986552814,1817.818395004892,475.8600157000001,0.028577302631578948,0.0,1.2107130973670148,0.7488756226641512,0.14131030701754385,166166.50958164153,1817.818395004892,89.14357250738993,8.058511618896292,True,4486,4556,-983.7530637525269,4578,4641,-983.7530637525269,4189,4211,-365.6409314304992,4170,4197,-367.30804119406275,0,0,0.010923108781899844,0,0,0.010887619410284545,0,0,0.02198801531845227,0,0,0.022004944986552814,7.179295089619419e-06,0.05738760964912281,0.0001960196103521552,0.09838952850877193,True,0,90,2,0,2,695,132.0,0.9605652242702891,0.21838876002819185,78.85184932135775,16.46995171701989,1.0,0.0,0.0,1.0,,throughput,False,data\dvfs\results\cohort_isqp\cohort\cohort_B0032_z1__isqp_none.npz,44345b86544f4b19b1a040857ef1b1ded377a2709cf854e8de700755e90178ce
cohort_B0032_z96__isqp_none,cohort_B0032_z96,cohort,isqp_none,,Laplacian (RegTools),3x1x320x456,193,0,115.37981059208926,0.0,86,0,-4.652382116980377,0.022631114534229384,36.54446904977082,71.3586894,0.0011992872807017544,0.0,0.2710589256941896,0.14093626836546955,0.1307154605263158,1008.37277304967,36.54446904977082,5.975680543902374,0.05286635068940285,True,479,576,-5.503845501885689,545,644,-6.29126745970958,287,337,-10.925402121943904,175,193,-4.652382116980377,0,0,0.010999999999948773,0,0,0.010999925467260203,0,0,0.021999999999885556,0,0,0.022631114534229384,6.215682178807371e-06,0.025712719298245614,0.0010555697627448648,0.026720120614035087,True,0,20,2,0,1,88,447.0,0.018153679676249812,0.014422330529435583,0.21904352914803726,0.30585797257339314,80.0,40.0,68.0,19.0,,throughput,False,data\dvfs\results\cohort_isqp\cohort\cohort_B0032_z96__isqp_none.npz,8e2375b0b8132dec5207b2c7d488cb93d02bc800d809d9523232a02cfec44935
cohort_B0032_z48__isqp_l2,cohort_B0032_z48,cohort,isqp_l2,,Laplacian (RegTools),3x1x320x456,118,0,76.314611079838,0.0,50,0,-4.607686112526327,0.0222998908309189,26.182282690092734,163.98339009999836,0.0007058662280701755,0.0,0.21367205310646673,0.1278810383559858,0.08074972587719298,454.0839760508186,26.182282690092734,7.543060138319257,0.038537212598728554,True,307,363,-12.274275842457321,336,389,-12.28811331387179,188,210,-9.39527050487601,103,118,-4.607686112526327,0,0,0.010577088697601975,0,0,0.010577088697601975,0,0,0.021154177395199307,0,0,0.0222998908309189,0.00030707929752045806,0.015145285087719298,0.0009930232592633352,0.015604440789473685,True,0,10,1,0,1,86,268.0,0.02554879652277193,0.014994702024205633,0.3302246695450407,0.450406910964562,38.0,21.0,22.0,10.0,,throughput,False,data\dvfs\results\cohort_isqp\cohort\cohort_B0032_z48__isqp_l2.npz,92706f7e1d58824d391985d9f211c4a211460ac6e63244f425a6192002821e36
cohort_B0032_z96__isqp_l2,cohort_B0032_z96,cohort,isqp_l2,,Laplacian (RegTools),3x1x320x456,193,0,115.37981059208926,0.0,86,0,-4.652382116980377,0.022318119247277786,28.895220967565006,193.42524460000277,0.0011992872807017544,0.0,0.2710589256941896,0.1493866229737561,0.11284265350877193,649.2660355576359,28.895220967565006,5.159692772995001,0.03943070785604493,True,479,576,-5.503845501885689,545,644,-6.29126745970958,287,337,-10.925402121943904,175,193,-4.652382116980377,0,0,0.010156310280741598,0,0,0.010156310280741598,0,0,0.0212396227720396,0,0,0.022318119247277786,6.215682178807371e-06,0.025712719298245614,0.0008031568006333458,0.02627467105263158,True,0,21,2,0,1,170,447.0,0.018153679676249812,0.014422330529435583,0.16536359810376627,0.23293482008699173,73.0,40.0,62.0,19.0,,throughput,False,data\dvfs\results\cohort_isqp\cohort\cohort_B0032_z96__isqp_l2.npz,d29c0933b6b6eb8926e94cb261fb8e39317b5eb812507b44c1ffdc176b441c49
cohort_B0032_z0__isqp_l2,cohort_B0032_z0,cohort,isqp_l2,,Laplacian (RegTools),3x1x320x456,4216,0,10752.734665494721,0.0,14,0,-65.33949266403215,0.021945259627580784,1452.720663536436,847.2890817999978,0.02866639254385965,0.0,1.2079326618113981,0.832303206928095,0.13895285087719297,99533.294911596,1452.720663536436,63.99212438476249,4.908921627125468,True,4427,4509,-83.01363502957429,4508,4584,-83.01363502957429,4180,4222,-83.84443469423786,4183,4216,-65.33949266403215,0,0,0.010201663768369663,0,0,0.010201663768369663,0,0,0.02040332753672903,0,0,0.021945259627580784,4.2361457192854894e-05,0.05729851973684211,0.00032840626934606726,0.08569764254385964,True,0,111,2,0,2,739,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\cohort_isqp\cohort\cohort_B0032_z0__isqp_l2.npz,49d292ee270f872a92d74af1ae57ebc5d5e5094e88119620488b00ddde1bcb89
cohort_B0032_z144__isqp_none,cohort_B0032_z144,cohort,isqp_none,,Laplacian (RegTools),3x1x320x456,276,0,150.8601920730482,0.0,141,0,-5.260162351299369,0.022945162826499315,40.749485930066456,231.71661769999992,0.001713267543859649,0.0,0.3210186373809863,0.16298021752972938,0.2849917763157895,1250.8619505205188,40.749485930066456,5.737516220367948,0.030078919600839676,True,672,865,-8.168649360238433,789,983,-9.818507054778024,394,500,-8.900309939197982,250,276,-5.260162351299369,0,0,0.010999999999996162,0,0,0.010999999999996162,0,0,0.02199999999999928,0,0,0.022945162826499315,2.9460016857472326e-05,0.039857456140350876,0.0014691946307227605,0.04111842105263158,True,0,54,3,0,1,211,716.0,0.018153679676249812,0.014994702024205633,0.22953884871047836,0.3162345284231464,104.0,42.0,88.0,32.0,,throughput,False,data\dvfs\results\cohort_isqp\cohort\cohort_B0032_z144__isqp_none.npz,c3cf715fb32d146c696cf5fa93d73961f05650281c1bd0f47fdbcb3a0f69bf3e
cohort_B0032_z1__isqp_l2,cohort_B0032_z1,cohort,isqp_l2,,Laplacian (RegTools),3x1x320x456,4197,0,16615.928064878233,0.0,25,0,-367.30804119406275,0.02190870056152025,1575.3042455152724,876.7295158999987,0.028577302631578948,0.0,1.2107130973670148,0.8275850222152081,0.13843201754385964,105729.24588139768,1575.3042455152724,86.7016654953747,5.234121083237509,True,4486,4556,-983.7530637525269,4578,4641,-983.7530637525269,4189,4211,-365.6409314304992,4170,4197,-367.30804119406275,0,0,0.010722969155522073,0,0,0.010530102129661434,0,0,0.02144593831104473,0,0,0.02190870056152025,7.179295089619419e-06,0.05738760964912281,0.00018352591021647243,0.08623218201754386,True,0,123,2,0,2,698,132.0,0.9605652242702891,0.21838876002819185,77.50508955240615,14.240283526195014,1.0,0.0,0.0,1.0,,throughput,False,data\dvfs\results\cohort_isqp\cohort\cohort_B0032_z1__isqp_l2.npz,c6466372f3af324de534e0a78b547232d27a7167bf343c553d9c9936eca338f0
cohort_B0032_z192__isqp_none,cohort_B0032_z192,cohort,isqp_none,,Laplacian (RegTools),3x1x320x456,287,0,154.14446750583775,0.0,155,0,-5.355621909680561,0.022183388658833885,39.390224113630595,144.96396129999994,0.0016241776315789474,0.0,0.3199010207411794,0.1672816225100724,0.28299753289473684,1309.2637925551903,39.390224113630595,5.714147309851275,0.03170514087795594,True,773,1016,-7.714829873919342,891,1128,-8.694479675325411,438,552,-8.641250488575158,237,287,-5.355621909680561,0,0,0.010996420330672302,0,0,0.010996420330672302,0,0,0.0219928406613297,0,0,0.022183388658833885,1.0540674849761706e-05,0.04417489035087719,0.0005379689937232592,0.04569627192982456,True,0,46,4,0,1,183,893.0,0.011646308822484734,0.017266817460215866,0.14723935874756316,0.20992394682803026,149.0,25.0,145.0,33.0,,throughput,False,data\dvfs\results\cohort_isqp\cohort\cohort_B0032_z192__isqp_none.npz,08ff8fb411d0dde7e90a712d1b310cb42d7e84a2755baf6cb4ee5728f1ae2957
