label,case,source,config,mechanism,tool,shape,n_neg_init,n_neg_final,neg_vol_init,neg_vol_final,n_clusters_init,n_clusters_final,min_jdet_init,min_jdet_final,l2_err,time_s,frac_nonpos_jdet_init,frac_nonpos_jdet_final,sdlogj_init,sdlogj_final,moved_frac,l1_move,l2_move,max_move,mean_move_moved,feasible,simplex_n_neg_init,simplex_n_below_init,simplex_min_init,bilinear_n_neg_init,bilinear_n_below_init,bilinear_min_init,finite_n_neg_init,finite_n_below_init,finite_min_init,jdet_n_neg_init,jdet_n_below_init,jdet_min_init,simplex_n_neg_final,simplex_n_below_final,simplex_min_final,bilinear_n_neg_final,bilinear_n_below_final,bilinear_min_final,finite_n_neg_final,finite_n_below_final,finite_min_final,jdet_n_neg_final,jdet_n_below_final,jdet_min_final,ift_min_radius_init,ift_frac_subpixel_init,ift_min_radius_final,ift_frac_subpixel_final,certified,damage,n_windows,giant_regions,mop_cleared,rounds,sqp_iters,corr_n,corr_resid_med_init,corr_resid_mad_init,corr_resid_med_final,corr_resid_mad_final,corr_n_outliers,corr_n_large,corr_n_high_resid,corr_n_incoherent,error,timing_mode,hit_cap,out_path,sha256
z0_cluster__isqp_none,z0_cluster,crops,isqp_none,,B0039 hard crop (TUNING SET),3x1x35x42,609,0,3484.115447112045,0.0,1,0,-83.48196780027274,0.022451248491577872,787.4864972787437,3.3452380999806337,0.4142857142857143,0.0,4.192337337452271,2.1538559246569937,0.6571428571428571,24658.432565765626,787.4864972787437,47.54671716735632,25.52632770783191,True,598,598,-85.394704044229,603,605,-87.59603854535453,588,588,-102.27444073626975,609,609,-83.48196780027274,0,0,0.011011261642198105,0,0,0.011009633514933228,0,0,0.02202757071855769,0,0,0.022451248491577872,0.0007698187358163713,0.8299319727891157,0.0003386688962399228,0.8938775510204081,True,0,1,0,0,1,12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\crops_all\crops\z0_cluster__isqp_none.npz,6fd4930ddc7261235e7f3cb2813d7063a891c739bf1d5ad53a826ae64ff5feab
z0_cluster__isqp_l2,z0_cluster,crops,isqp_l2,,B0039 hard crop (TUNING SET),3x1x35x42,609,0,3484.115447112045,0.0,1,0,-83.48196780027274,0.022007217858381806,690.5371458074857,41.431763600034174,0.4142857142857143,0.0,4.192337337452271,2.416869291505428,0.7619047619047619,17428.538297595613,690.5371458074857,53.23105897991309,15.561194908567511,True,598,598,-85.394704044229,603,605,-87.59603854535453,588,588,-102.27444073626975,609,609,-83.48196780027274,0,0,0.010997472443416574,0,0,0.0109974472856497,0,0,0.02199847396210042,0,0,0.022007217858381806,0.0007698187358163713,0.8299319727891157,0.0002457997379650503,0.8938775510204081,True,0,2,0,0,1,96,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\crops_all\crops\z0_cluster__isqp_l2.npz,34530a47ab8491e042fd43e0ee589b1970b37e6e0890561777fd86708f21b3e3
z0_cluster__auto,z0_cluster,crops,auto,,B0039 hard crop (TUNING SET),3x1x35x42,609,0,3484.115447112045,0.0,1,0,-83.48196780027274,0.022007217858381806,690.5371458074857,32.16866079997271,0.4142857142857143,0.0,4.192337337452271,2.416869291505428,0.7619047619047619,17428.538297595613,690.5371458074857,53.23105897991309,15.561194908567511,True,598,598,-85.394704044229,603,605,-87.59603854535453,588,588,-102.27444073626975,609,609,-83.48196780027274,0,0,0.010997472443416574,0,0,0.0109974472856497,0,0,0.02199847396210042,0,0,0.022007217858381806,0.0007698187358163713,0.8299319727891157,0.0002457997379650503,0.8938775510204081,True,0,2,0,0,1,96,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\crops_all\crops\z0_cluster__auto.npz,34530a47ab8491e042fd43e0ee589b1970b37e6e0890561777fd86708f21b3e3
z0_cluster__slp,z0_cluster,crops,slp,,B0039 hard crop (TUNING SET),3x1x35x42,609,54,3484.115447112045,5.457211387345264,1,25,-83.48196780027274,-0.9297107469393895,942.4974795359573,8.286261499975808,0.4142857142857143,0.026530612244897958,4.192337337452271,2.307802791505624,0.9591836734693877,27432.947697057218,942.4974795359573,84.8497474420271,19.455991274508666,False,598,598,-85.394704044229,603,605,-87.59603854535453,588,588,-102.27444073626975,609,609,-83.48196780027274,30,67,-0.011373203382662456,274,390,-14.946154666978405,18,34,-0.022746406765325605,39,54,-0.9297107469393895,0.0007698187358163713,0.8299319727891157,1.2543681451885651e-05,0.9551020408163265,False,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\crops_all\crops\z0_cluster__slp.npz,4b9349fb6a9e1c9a87eff4a4dcc46d927233251b036c0c82ae4e69c1204c56c8
z0_cluster__barrier,z0_cluster,crops,barrier,,B0039 hard crop (TUNING SET),3x1x35x42,609,268,3484.115447112045,71.80808987189889,1,9,-83.48196780027274,-39.12071142202999,268.1344197240551,2.549142000032589,0.4142857142857143,0.10136054421768707,4.192337337452271,3.095935166004882,0.6122448979591837,7531.029431515621,268.1344197240551,57.273170455634755,8.3678104794618,False,598,598,-85.394704044229,603,605,-87.59603854535453,588,588,-102.27444073626975,609,609,-83.48196780027274,205,345,-0.057193928776983885,310,472,-78.96212886283432,147,270,-0.11438785755396849,149,268,-39.12071142202999,0.0007698187358163713,0.8299319727891157,1.278115245888866e-08,0.8938775510204081,False,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\crops_all\crops\z0_cluster__barrier.npz,4a686fc5063089cbc2ac5b8d50a8583a43437461d26c7e6a20639d81d4acf588
z0_cluster__m14,z0_cluster,crops,m14,,B0039 hard crop (TUNING SET),3x1x35x42,609,185,3484.115447112045,81.49153658144645,1,8,-83.48196780027274,-54.10423652593074,310.9719198466107,5.329283399973065,0.4142857142857143,0.07482993197278912,4.192337337452271,2.7917178248476526,1.0,9944.958379638547,310.9719198466107,46.46399843839606,6.765277809277923,False,598,598,-85.394704044229,603,605,-87.59603854535453,588,588,-102.27444073626975,609,609,-83.48196780027274,146,212,-0.009404853316114643,294,384,-108.32820823855471,124,198,-0.018809706632226687,110,185,-54.10423652593074,0.0007698187358163713,0.8299319727891157,1.587862068281102e-08,0.9068027210884354,False,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\crops_all\crops\z0_cluster__m14.npz,214586e1709136147d80b62558abcd8a947dc4a29a8a2cd05786cf256129faa7
z0_cluster__slsqp_windowed,z0_cluster,crops,slsqp_windowed,,B0039 hard crop (TUNING SET),3x1x35x42,609,294,3484.115447112045,2.1532163863892395e-07,1,47,-83.48196780027274,0.009999985831873781,193.53628255946865,915.5516915000044,0.4142857142857143,0.0,4.192337337452271,3.0449316980644046,0.5993197278911565,5138.037459396565,193.53628255946865,32.17143938352075,5.832051599769087,True,598,598,-85.394704044229,603,605,-87.59603854535453,588,588,-102.27444073626975,609,609,-83.48196780027274,587,587,-322.62155963032086,634,637,-492.3870604017523,397,397,-638.9911724377165,0,0,0.009999985831873781,0.0007698187358163713,0.8299319727891157,2.0121602689928364e-06,0.8938775510204081,False,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\crops_all\crops\z0_cluster__slsqp_windowed.npz,27472d65237e6262d5a6848e0b24da2c5e09238f01a66b72c92371463cbe79b9
z0_sliver__isqp_none,z0_sliver,crops,isqp_none,,B0039 hard crop (TUNING SET),3x1x53x52,0,0,0.0,0.0,0,0,0.022000308548541975,0.022011032334125335,805.7709270343073,84.5763077000156,0.0,0.0,1.6766362821631005,1.5858448708933661,0.966255442670537,25183.290076100355,805.7709270343073,64.51272327263253,9.456736791626119,True,0,0,0.010997871252991426,8,18,-0.0004357905639205209,0,0,0.02199574250598285,0,0,0.022000308548541975,0,0,0.011002357649337935,0,0,0.011000096336476358,0,0,0.022009774103541047,0,0,0.022011032334125335,2.6282204493930134e-05,0.9677068214804064,9.865591313083621e-05,0.9677068214804064,True,0,11,0,40,1,286,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\crops_all\crops\z0_sliver__isqp_none.npz,0503fadaafd96cad5bb7b53a4d1de10df53780479e3d1557406db2d3ec9a50ac
z0_sliver__isqp_l2,z0_sliver,crops,isqp_l2,,B0039 hard crop (TUNING SET),3x1x53x52,0,0,0.0,0.0,0,0,0.022000308548541975,0.022033360619715815,910.5478466797232,312.79205579997506,0.0,0.0,1.6766362821631005,1.7945829630010002,0.989477503628447,25675.658698892017,910.5478466797232,61.20001480212629,9.415349724566196,True,0,0,0.010997871252991426,8,18,-0.0004357905639205209,0,0,0.02199574250598285,0,0,0.022000308548541975,0,0,0.011002758131594884,0,0,0.011000000000000605,0,0,0.022006138784082592,0,0,0.022033360619715815,2.6282204493930134e-05,0.9677068214804064,7.222153833784195e-05,0.9677068214804064,True,0,25,0,78,1,637,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\crops_all\crops\z0_sliver__isqp_l2.npz,f237fe1abc409f9a285a735d1d67e6e69307fd774881f801b6caa4f5f9912340
z0_sliver__auto,z0_sliver,crops,auto,,B0039 hard crop (TUNING SET),3x1x53x52,0,0,0.0,0.0,0,0,0.022000308548541975,0.022011032334125335,805.7709270343073,118.66317780001555,0.0,0.0,1.6766362821631005,1.5858448708933661,0.966255442670537,25183.290076100355,805.7709270343073,64.51272327263253,9.456736791626119,True,0,0,0.010997871252991426,8,18,-0.0004357905639205209,0,0,0.02199574250598285,0,0,0.022000308548541975,0,0,0.011002357649337935,0,0,0.011000096336476358,0,0,0.022009774103541047,0,0,0.022011032334125335,2.6282204493930134e-05,0.9677068214804064,9.865591313083621e-05,0.9677068214804064,True,0,11,0,40,1,346,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\crops_all\crops\z0_sliver__auto.npz,0503fadaafd96cad5bb7b53a4d1de10df53780479e3d1557406db2d3ec9a50ac
