label,case,source,config,mechanism,tool,shape,n_neg_init,n_neg_final,neg_vol_init,neg_vol_final,n_clusters_init,n_clusters_final,min_jdet_init,min_jdet_final,l2_err,time_s,frac_nonpos_jdet_init,frac_nonpos_jdet_final,sdlogj_init,sdlogj_final,moved_frac,l1_move,l2_move,max_move,mean_move_moved,feasible,simplex_n_neg_init,simplex_n_below_init,simplex_min_init,bilinear_n_neg_init,bilinear_n_below_init,bilinear_min_init,finite_n_neg_init,finite_n_below_init,finite_min_init,jdet_n_neg_init,jdet_n_below_init,jdet_min_init,simplex_n_neg_final,simplex_n_below_final,simplex_min_final,bilinear_n_neg_final,bilinear_n_below_final,bilinear_min_final,finite_n_neg_final,finite_n_below_final,finite_min_final,jdet_n_neg_final,jdet_n_below_final,jdet_min_final,ift_min_radius_init,ift_frac_subpixel_init,ift_min_radius_final,ift_frac_subpixel_final,certified,damage,n_windows,giant_regions,mop_cleared,rounds,sqp_iters,corr_n,corr_resid_med_init,corr_resid_mad_init,corr_resid_med_final,corr_resid_mad_final,corr_n_outliers,corr_n_large,corr_n_high_resid,corr_n_incoherent,error,timing_mode,hit_cap,out_path,sha256
m1_laplacian_cohort_B0039_z264__isqp_none,m1_laplacian_cohort_B0039_z264,origins,isqp_none,m1_interpolation,Laplacian (RegTools) (real),3x1x320x456,306,0,133.45570962418722,0.0,188,0,-3.491226293058075,0.023221299224278492,45.952857031449575,40.11712059999991,0.0020764802631578947,0.0,0.33736161904597456,0.16601317776074892,0.29059073464912283,1582.724350114905,45.952857031449575,6.150216742474386,0.037325763510008846,True,1112,1121,-7.422033348526725,1224,1244,-7.422033348526725,637,660,-14.84406669705345,303,306,-3.491226293058075,0,0,0.010999272212979527,0,0,0.010999272212979527,0,0,0.021998544425930633,0,0,0.023221299224278492,0.00014814128057898695,0.0516515899122807,0.0011605493260646628,0.05380345394736842,True,0,37,6,0,1,175,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,serial,False,data\dvfs\results\origins_serial\origins\m1_laplacian_cohort_B0039_z264__isqp_none.npz,11a2d38abc9dd942bb3f718cad3d61fd0f08017ac075619feb724286374b0557
m1_laplacian_cohort_B0039_z264__isqp_l2,m1_laplacian_cohort_B0039_z264,origins,isqp_l2,m1_interpolation,Laplacian (RegTools) (real),3x1x320x456,306,0,133.45570962418722,0.0,188,0,-3.491226293058075,0.02211732935880931,36.788384903725124,101.55867620000208,0.0020764802631578947,0.0,0.33736161904597456,0.17118248839201305,0.2599986293859649,1037.2234331431725,36.788384903725124,6.3519848386175966,0.02733924017879155,True,1112,1121,-7.422033348526725,1224,1244,-7.422033348526725,637,660,-14.84406669705345,303,306,-3.491226293058075,0,0,0.010002246317852487,0,0,0.010002246317852487,0,0,0.020004492635718102,0,0,0.02211732935880931,0.00014814128057898695,0.0516515899122807,0.00040697408900137853,0.052713815789473685,True,0,50,6,0,1,340,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,serial,False,data\dvfs\results\origins_serial\origins\m1_laplacian_cohort_B0039_z264__isqp_l2.npz,1470c79270f7ea40f5c1663654a0238ac4eb4829769ee231082cbd3fa9909726
m1_laplacian_synthetic_clean__isqp_none,m1_laplacian_synthetic_clean,origins,isqp_none,m1_interpolation,Laplacian (dvfopt.laplacian) (synthetic),3x1x192x192,0,0,0.0,0.0,0,0,0.23784410764136035,0.28144742179513565,0.3156401331322678,0.0718228999976418,0.0,0.0,0.04962315230321344,0.049415125422005525,0.005425347222222222,1.1478916050948833,0.3156401331322678,0.15042284095177205,0.005739458025474416,True,3,3,-0.06340272436979937,4,5,-0.19603694974261174,2,2,-0.1268054487395986,0,0,0.23784410764136035,0,0,0.010999999999997567,0,0,0.010999999999993612,0,0,0.05059870760722297,0,0,0.28144742179513565,0.03734859992526742,0.010009765625,0.05009420084082136,0.009901258680555556,True,0,4,0,0,1,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,serial,False,data\dvfs\results\origins_serial\origins\m1_laplacian_synthetic_clean__isqp_none.npz,ceb65566724b0f7d31e3dba309401572390202214d2d61caa567956e9b922809
m1_laplacian_synthetic_clean__isqp_l2,m1_laplacian_synthetic_clean,origins,isqp_l2,m1_interpolation,Laplacian (dvfopt.laplacian) (synthetic),3x1x192x192,0,0,0.0,0.0,0,0,0.23784410764136035,0.2770761073653927,0.30839488336175697,0.09774339999785298,0.0,0.0,0.04962315230321344,0.049423828612054674,0.004313151041666667,1.1098264889280767,0.30839488336175697,0.14990546908347113,0.006980040810868407,True,3,3,-0.06340272436979937,4,5,-0.19603694974261174,2,2,-0.1268054487395986,0,0,0.23784410764136035,0,0,0.010999999930750126,0,0,0.01099999620338385,0,0,0.05055919673072204,0,0,0.2770761073653927,0.03734859992526742,0.010009765625,0.04883760168068669,0.009901258680555556,True,0,4,0,0,1,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,serial,False,data\dvfs\results\origins_serial\origins\m1_laplacian_synthetic_clean__isqp_l2.npz,a1714d4e1e98f880f191dc6e8fa6739f7419348364046fdaccaecc9de5bddba6
m1_laplacian_synthetic_collapse__isqp_none,m1_laplacian_synthetic_collapse,origins,isqp_none,m1_interpolation,Laplacian (dvfopt.laplacian) (synthetic),3x1x192x192,27,0,5.8375645998416985,0.0,27,0,-0.5543111707588715,0.0519342594246433,6.859517314792576,1.6452226000001247,0.0007052951388888889,0.0,0.23384429449479793,0.14917770354001436,0.0688747829861111,75.39236512639928,6.859517314792576,2.0855505672405252,0.029693723956833118,True,49,55,-1.6347712439447801,84,87,-2.542479147145743,30,31,-2.742697431927815,26,27,-0.5543111707588715,0,0,0.01100000000000656,0,0,0.010999999998741392,0,0,0.022040048084184853,0,0,0.0519342594246433,0.00023235372680778068,0.027533637152777776,0.01997540107340771,0.028293185763888888,True,0,6,0,0,1,23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,serial,False,data\dvfs\results\origins_serial\origins\m1_laplacian_synthetic_collapse__isqp_none.npz,dbab0e857210e5454c6f2eee2ab92f574eb077757489ada5ab4995a38efb9512
m1_laplacian_synthetic_collapse__isqp_l2,m1_laplacian_synthetic_collapse,origins,isqp_l2,m1_interpolation,Laplacian (dvfopt.laplacian) (synthetic),3x1x192x192,27,0,5.8375645998416985,0.0,27,0,-0.5543111707588715,0.039208107450706325,6.365235856822207,6.740205800000695,0.0007052951388888889,0.0,0.23384429449479793,0.1498065038095026,0.06719292534722222,63.69237067565487,6.365235856822207,1.8987440594643665,0.02571351258605364,True,49,55,-1.6347712439447801,84,87,-2.542479147145743,30,31,-2.742697431927815,26,27,-0.5543111707588715,0,0,0.010834064547326452,0,0,0.010834064547326452,0,0,0.021668129094658733,0,0,0.039208107450706325,0.00023235372680778068,0.027533637152777776,0.0033711702702127716,0.028184678819444444,True,0,7,0,0,1,38,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,serial,False,data\dvfs\results\origins_serial\origins\m1_laplacian_synthetic_collapse__isqp_l2.npz,0a3e66cc5b7f3c72d2243cb3efdc827255ef0b150044bdc5e06522a4199a4c8b
m1_laplacian_synthetic_mixed__isqp_none,m1_laplacian_synthetic_mixed,origins,isqp_none,m1_interpolation,Laplacian (dvfopt.laplacian) (synthetic),3x1x192x192,205,0,316.02569752428747,0.0,33,0,-15.073061978225773,0.02273502604504524,100.92892112478648,5.103636499999993,0.005425347222222222,0.0,0.5631747036303953,0.3300985597276758,0.16324869791666666,2788.6614174132324,100.92892112478648,23.788115334480597,0.46338674267418284,True,337,351,-13.296146612138793,370,385,-13.296146612138793,238,241,-20.996086777655922,200,205,-15.073061978225773,0,0,0.010999543899863296,0,0,0.010996003970876564,0,0,0.021999087799733308,0,0,0.02273502604504524,3.6292852321921283e-05,0.0940212673611111,0.0005173419380134695,0.1103244357638889,True,0,28,0,0,1,131,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,serial,False,data\dvfs\results\origins_serial\origins\m1_laplacian_synthetic_mixed__isqp_none.npz,eab9d506565ed4adffbb6bbb40e0137de2a13434a11dc1876b7f1963c130829f
m1_laplacian_synthetic_mixed__isqp_l2,m1_laplacian_synthetic_mixed,origins,isqp_l2,m1_interpolation,Laplacian (dvfopt.laplacian) (synthetic),3x1x192x192,205,0,316.02569752428747,0.0,33,0,-15.073061978225773,0.021991383225130435,69.00504590476245,21.79482360000111,0.005425347222222222,0.0,0.5631747036303953,0.35829161406525506,0.1533474392361111,1047.1499787743555,69.00504590476245,22.665226658031315,0.18523792300979225,True,337,351,-13.296146612138793,370,385,-13.296146612138793,238,241,-20.996086777655922,200,205,-15.073061978225773,0,0,0.010579410565095022,0,0,0.010579410565095022,0,0,0.021158821130188757,0,0,0.021991383225130435,3.6292852321921283e-05,0.0940212673611111,0.00034502167114218863,0.1010470920138889,True,0,29,0,0,1,240,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,serial,False,data\dvfs\results\origins_serial\origins\m1_laplacian_synthetic_mixed__isqp_l2.npz,ae83045b8d25aef7da3c5597b998e29bafdbd5f3c554fa2a1a4f3991245f319a
m1_laplacian_synthetic_outliers__isqp_none,m1_laplacian_synthetic_outliers,origins,isqp_none,m1_interpolation,Laplacian (dvfopt.laplacian) (synthetic),3x1x192x192,383,0,662.861644085462,0.0,26,0,-33.565915681870486,0.022706937192001633,134.2024490913236,5.46051929999885,0.010226779513888888,0.0,0.7426500462634352,0.41827456580138156,0.1338433159722222,5138.745450941402,134.2024490913236,21.53400672338161,1.0414968485896638,True,500,516,-36.92022143488769,545,556,-36.92022143488769,394,398,-73.84044286977542,377,383,-33.565915681870486,0,0,0.010999999999996554,0,0,0.01099999917037442,0,0,0.021999999999999336,0,0,0.022706937192001633,2.9063200415604925e-05,0.08138020833333333,0.0005593243403254369,0.10896809895833333,True,0,20,0,0,1,126,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,serial,False,data\dvfs\results\origins_serial\origins\m1_laplacian_synthetic_outliers__isqp_none.npz,b702f3063151ba1ecc1ea617c5a7302ba5af3c6f1d531c21bdd207a8f77508fe
m1_laplacian_synthetic_outliers__isqp_l2,m1_laplacian_synthetic_outliers,origins,isqp_l2,m1_interpolation,Laplacian (dvfopt.laplacian) (synthetic),3x1x192x192,383,0,662.861644085462,0.0,26,0,-33.565915681870486,0.022068741169264477,95.16025656004295,35.0130986999975,0.010226779513888888,0.0,0.7426500462634352,0.45214676926303465,0.1338433159722222,2055.295111670377,95.16025656004295,21.15584664906433,0.41655758242204644,True,500,516,-36.92022143488769,545,556,-36.92022143488769,394,398,-73.84044286977542,377,383,-33.565915681870486,0,0,0.010559486001074734,0,0,0.010515412630609382,0,0,0.02127156176387289,0,0,0.022068741169264477,2.9063200415604925e-05,0.08138020833333333,0.00046405784523238824,0.0935329861111111,True,0,23,0,0,1,442,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,serial,False,data\dvfs\results\origins_serial\origins\m1_laplacian_synthetic_outliers__isqp_l2.npz,88f23b247732ff3b42ec08cf43e34e8ccb9550e5be7320d0beb3d6da7ebba7ba
