label,case,source,config,mechanism,tool,shape,n_neg_init,n_neg_final,neg_vol_init,neg_vol_final,n_clusters_init,n_clusters_final,min_jdet_init,min_jdet_final,l2_err,time_s,frac_nonpos_jdet_init,frac_nonpos_jdet_final,sdlogj_init,sdlogj_final,moved_frac,l1_move,l2_move,max_move,mean_move_moved,feasible,simplex_n_neg_init,simplex_n_below_init,simplex_min_init,bilinear_n_neg_init,bilinear_n_below_init,bilinear_min_init,finite_n_neg_init,finite_n_below_init,finite_min_init,jdet_n_neg_init,jdet_n_below_init,jdet_min_init,simplex_n_neg_final,simplex_n_below_final,simplex_min_final,bilinear_n_neg_final,bilinear_n_below_final,bilinear_min_final,finite_n_neg_final,finite_n_below_final,finite_min_final,jdet_n_neg_final,jdet_n_below_final,jdet_min_final,ift_min_radius_init,ift_frac_subpixel_init,ift_min_radius_final,ift_frac_subpixel_final,certified,damage,n_windows,giant_regions,mop_cleared,rounds,sqp_iters,corr_n,corr_resid_med_init,corr_resid_mad_init,corr_resid_med_final,corr_resid_mad_final,corr_n_outliers,corr_n_large,corr_n_high_resid,corr_n_incoherent,error,timing_mode,hit_cap,out_path,sha256
01a_10x10_crossing__isqp_none,01a_10x10_crossing,synthetic,isqp_none,,Laplacian (dvfopt.laplacian),3x1x10x10,9,0,3.2289608662031126,0.0,1,0,-1.0291694511363108,0.023648143296251853,3.0673837595904048,0.04129810002632439,0.09,0.0,1.935179170482852,1.0525248937024854,0.8,7.43750708479122,3.0673837595904048,2.0582443601707263,0.09296883855989026,True,16,16,-0.7439316118613307,16,16,-0.7439316118613307,12,12,-1.4777753008387333,9,9,-1.0291694511363108,0,0,0.011559026280159118,0,0,0.011550775890176793,0,0,0.0231180525603176,0,0,0.023648143296251853,0.004368070686043027,0.59,0.010692881013872472,0.55,True,0,1,0,0,1,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\synthetic_all\synthetic\01a_10x10_crossing__isqp_none.npz,00a5c37c4568e67e8a71995583cfd3fcd4536ec0d167905ec694626e89b15c72
01a_10x10_crossing__isqp_l2,01a_10x10_crossing,synthetic,isqp_l2,,Laplacian (dvfopt.laplacian),3x1x10x10,9,0,3.2289608662031126,0.0,1,0,-1.0291694511363108,0.022051638229825577,3.053359874710957,0.04861589998472482,0.09,0.0,1.935179170482852,1.0778229647229485,0.8,7.9023766784990945,3.053359874710957,2.0743242655074354,0.09877970848123868,True,16,16,-0.7439316118613307,16,16,-0.7439316118613307,12,12,-1.4777753008387333,9,9,-1.0291694511363108,0,0,0.010981750792837962,0,0,0.010981750792837962,0,0,0.02199130479570414,0,0,0.022051638229825577,0.004368070686043027,0.59,0.009151126680887923,0.55,True,0,1,0,0,1,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\synthetic_all\synthetic\01a_10x10_crossing__isqp_l2.npz,c5a1f925a5902ca88111e52dd2d385b7449758ba7061233df7076a1641bc962a
01a_10x10_crossing__auto,01a_10x10_crossing,synthetic,auto,,Laplacian (dvfopt.laplacian),3x1x10x10,9,0,3.2289608662031126,0.0,1,0,-1.0291694511363108,0.0224857379213636,3.054057405995893,0.056758100050501525,0.09,0.0,1.935179170482852,1.0692566158973125,0.8,6.859975716781068,3.054057405995893,2.0669895104971063,0.08574969645976335,True,16,16,-0.7439316118613307,16,16,-0.7439316118613307,12,12,-1.4777753008387333,9,9,-1.0291694511363108,0,0,0.010999999999999866,0,0,0.010999999999999866,0,0,0.02199999999999951,0,0,0.0224857379213636,0.004368070686043027,0.59,0.00973863375586643,0.55,True,0,1,0,0,1,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\synthetic_all\synthetic\01a_10x10_crossing__auto.npz,dbe8415017686f2c943730d8f870a044d8f4f48a72f0e0a5a36df73000992d3a
01a_10x10_crossing__slp,01a_10x10_crossing,synthetic,slp,,Laplacian (dvfopt.laplacian),3x1x10x10,9,0,3.2289608662031126,0.0,1,0,-1.0291694511363108,0.019998313092845596,3.0453643876066847,0.14099939999869093,0.09,0.0,1.935179170482852,1.102413175279405,0.12,6.640325943966346,3.0453643876066847,2.1011426558669464,0.5533604953305288,True,16,16,-0.7439316118613307,16,16,-0.7439316118613307,12,12,-1.4777753008387333,9,9,-1.0291694511363108,0,0,0.009999893824971774,0,5,0.009303342954562477,0,0,0.019999787649943184,0,0,0.019998313092845596,0.004368070686043027,0.59,0.0085645525782121,0.55,False,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\synthetic_all\synthetic\01a_10x10_crossing__slp.npz,7a55eaaecbd0f548b03d90b8c72910662cbfcfbbb4eb4e75faf379d8978391af
01a_10x10_crossing__barrier,01a_10x10_crossing,synthetic,barrier,,Laplacian (dvfopt.laplacian),3x1x10x10,9,0,3.2289608662031126,0.0,1,0,-1.0291694511363108,0.021662680913159038,3.0505909411306282,0.20979739999165758,0.09,0.0,1.935179170482852,1.0769321218289438,0.24,7.036256235867827,3.0505909411306282,2.0755317709416303,0.29317734316115945,True,16,16,-0.7439316118613307,16,16,-0.7439316118613307,12,12,-1.4777753008387333,9,9,-1.0291694511363108,0,0,0.010999974253317342,0,1,0.009850579363657797,0,0,0.021999948506634563,0,0,0.021662680913159038,0.004368070686043027,0.59,0.009020918738877106,0.55,False,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\synthetic_all\synthetic\01a_10x10_crossing__barrier.npz,bef9dbfcf83b981bb1e559e1fce049b91f1205c8856c150aaca3442ec120db64
01a_10x10_crossing__m14,01a_10x10_crossing,synthetic,m14,,Laplacian (dvfopt.laplacian),3x1x10x10,9,0,3.2289608662031126,0.0,1,0,-1.0291694511363108,0.0216124420613526,3.0507096083979692,0.3247739999787882,0.09,0.0,1.935179170482852,1.0765228634141861,0.3,7.086729771199027,3.0507096083979692,2.0789155022355494,0.23622432570663424,True,16,16,-0.7439316118613307,16,16,-0.7439316118613307,12,12,-1.4777753008387333,9,9,-1.0291694511363108,0,0,0.010999974438698068,0,2,0.009669486978748122,0,0,0.02199994887739555,0,0,0.0216124420613526,0.004368070686043027,0.59,0.00887838664682948,0.55,False,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\synthetic_all\synthetic\01a_10x10_crossing__m14.npz,2ff0d1543a37b4d04929ab0336e3046d3075666aab845930b3266da0dfc4fee4
01a_10x10_crossing__slsqp_windowed,01a_10x10_crossing,synthetic,slsqp_windowed,,Laplacian (dvfopt.laplacian),3x1x10x10,9,4,3.2289608662031126,8.310080692151833e-08,1,1,-1.0291694511363108,0.009999960187602523,2.270910009457059,0.01266169996233657,0.09,0.0,1.935179170482852,1.5036113924010412,0.29,8.38881250425042,2.270910009457059,1.015512259950404,0.2892693966982904,True,16,16,-0.7439316118613307,16,16,-0.7439316118613307,12,12,-1.4777753008387333,9,9,-1.0291694511363108,12,13,-0.9838459986719875,14,14,-0.9838459986719875,8,9,-1.8610018511095783,0,0,0.009999960187602523,0.004368070686043027,0.59,0.00046788734535815115,0.6,False,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\synthetic_all\synthetic\01a_10x10_crossing__slsqp_windowed.npz,b327f1662320bea4ad405b9b1b520387f3903cb442b0cd0a3e86cabd2af068a5
01b_10x10_opposite__isqp_none,01b_10x10_opposite,synthetic,isqp_none,,Laplacian (dvfopt.laplacian),3x1x10x10,6,0,2.9632178378411744,0.0,1,0,-1.1739584632523976,0.025324739009649266,1.682676529797249,0.02579629997489974,0.06,0.0,1.6630427189771333,0.8696008262327435,0.36,4.708300738837036,1.682676529797249,1.0708893279691856,0.13078613163436212,True,8,8,-0.5869792316261988,8,8,-0.5869792316261988,5,5,-1.1739584632523976,6,6,-1.1739584632523976,0,0,0.010999999999999927,0,0,0.010999999999999927,0,0,0.021999999999999825,0,0,0.025324739009649266,0.0033296641588893517,0.32,0.0063715011203393295,0.32,True,0,1,0,0,1,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\synthetic_all\synthetic\01b_10x10_opposite__isqp_none.npz,9d716c54887a725ba3b85b667ea516b1bce3444145ebe4d347c0b98b221d6508
01b_10x10_opposite__isqp_l2,01b_10x10_opposite,synthetic,isqp_l2,,Laplacian (dvfopt.laplacian),3x1x10x10,6,0,2.9632178378411744,0.0,1,0,-1.1739584632523976,0.02200021331438231,1.6595436215697286,0.04191960004391149,0.06,0.0,1.6630427189771333,0.9782244954255874,0.36,4.0781677107939425,1.6595436215697286,1.0619587591097275,0.11328243641094285,True,8,8,-0.5869792316261988,8,8,-0.5869792316261988,5,5,-1.1739584632523976,6,6,-1.1739584632523976,0,0,0.010997146593405852,0,0,0.010997146593405852,0,0,0.022000128563049236,0,0,0.02200021331438231,0.0033296641588893517,0.32,0.004798605150841577,0.32,True,0,1,0,0,1,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\synthetic_all\synthetic\01b_10x10_opposite__isqp_l2.npz,7a06d1ddd5299cdb8aef13f5d91c2a537fd2469354b2198c030b1c087438c380
01b_10x10_opposite__auto,01b_10x10_opposite,synthetic,auto,,Laplacian (dvfopt.laplacian),3x1x10x10,6,0,2.9632178378411744,0.0,1,0,-1.1739584632523976,0.02485396368738923,1.678258069033601,0.034147400001529604,0.06,0.0,1.6630427189771333,0.8810767616838575,0.36,4.58520942440821,1.678258069033601,1.0699895379954196,0.1273669284557836,True,8,8,-0.5869792316261988,8,8,-0.5869792316261988,5,5,-1.1739584632523976,6,6,-1.1739584632523976,0,0,0.010993871039544044,0,0,0.010993871039544044,0,0,0.021998081769528024,0,0,0.02485396368738923,0.0033296641588893517,0.32,0.006237868522746612,0.32,True,0,1,0,0,1,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\synthetic_all\synthetic\01b_10x10_opposite__auto.npz,249d59ee398a9c02f70a01cbb594cb5b34398fae7c400f8227da8b6f63e5422b
