z,init_n_neg,final_n_neg,feasible,L1_dev,final_min_T,wall_s,dispatch
0,5220,0,1,263766.878,0.010989,918.63,
1,5232,0,1,312424.679,0.020000,814.38,
2,5289,0,1,334442.337,0.020001,532.43,
3,5261,0,1,253100.354,0.010978,728.60,
4,5204,0,1,288249.309,0.020000,662.96,
5,5236,0,1,241372.520,0.010996,364.80,
6,5211,0,1,242506.012,0.010998,533.27,
7,5099,0,1,220276.052,0.010987,767.43,
8,4898,0,1,215786.415,0.010996,668.35,
9,4645,0,1,194459.726,0.020000,636.26,
10,4568,0,1,173965.793,0.020000,742.71,
11,4673,0,1,159375.301,0.010995,777.88,
12,4902,0,1,185303.102,0.010090,294.82,
13,4993,0,1,180605.170,0.010098,237.13,
14,4835,0,1,183743.748,0.010099,194.07,
15,4465,0,1,160840.907,0.010092,40.12,
16,3678,0,1,91421.872,0.010090,54.98,
17,2866,0,1,54894.153,0.010999,215.34,
18,2009,0,1,9606.892,0.010998,235.51,
19,1635,0,1,3822.845,0.010092,83.10,
20,1330,0,1,4584.216,0.010091,23.71,
21,1099,0,1,24978.297,0.010094,41.61,
22,775,0,1,511.055,0.010079,23.50,
23,653,0,1,472.725,0.010090,13.25,
24,753,0,1,667.127,0.010091,17.60,
25,924,0,1,2182.357,0.010091,13.19,
26,1032,0,1,1653.803,0.010090,18.28,
27,997,0,1,2819.146,0.010092,16.92,
28,857,0,1,1892.431,0.010091,18.80,
29,793,0,1,2965.142,0.010090,15.60,
30,872,0,1,1581.671,0.010057,14.85,
31,838,0,1,1406.422,0.010091,19.77,
32,786,0,1,1546.585,0.010090,18.03,
33,713,0,1,1397.268,0.010071,18.35,
34,629,0,1,736.129,0.010090,15.04,
35,661,0,1,693.991,0.010072,16.98,
36,601,0,1,645.988,0.010076,18.26,
37,641,0,1,657.717,0.010090,22.15,
38,641,0,1,848.128,0.010090,19.44,
39,660,0,1,1888.621,0.010091,15.32,
40,714,0,1,932.806,0.010090,15.50,
41,573,0,1,611.114,0.010090,13.57,
42,563,0,1,1756.802,0.010092,14.47,
43,567,0,1,610.023,0.010091,14.32,
44,526,0,1,620.431,0.010092,14.77,
45,551,0,1,706.441,0.010091,16.00,
46,599,0,1,686.929,0.010090,14.87,
47,562,0,1,606.482,0.010090,32.36,
48,559,0,1,534.885,0.010090,12.32,
49,589,0,1,719.978,0.010090,14.51,
50,702,0,1,700.923,0.010091,17.03,
51,649,0,1,705.505,0.010091,14.75,
52,666,0,1,1000.326,0.010090,19.25,
53,577,0,1,2369.456,0.010091,13.48,
54,730,0,1,1045.921,0.010091,17.94,
55,756,0,1,929.552,0.010090,16.41,
56,878,0,1,883.780,0.010090,24.26,
57,925,0,1,1051.261,0.010090,18.17,
58,906,0,1,1118.850,0.010090,13.96,
59,832,0,1,2288.581,0.010090,12.62,
60,907,0,1,1091.233,0.010090,11.64,
61,933,0,1,1209.365,0.010090,11.31,
62,899,0,1,2674.666,0.010091,11.30,
63,899,0,1,2861.974,0.010090,11.25,
64,858,0,1,1195.606,0.010078,12.28,
65,775,0,1,1085.425,0.010091,11.98,
66,746,0,1,685.453,0.010069,14.00,
67,665,0,1,629.904,0.010091,9.72,
68,741,0,1,766.404,0.010089,10.63,
69,757,0,1,828.898,0.010088,14.22,
70,826,0,1,842.467,0.010092,15.29,
71,873,0,1,980.689,0.010090,13.25,
72,821,0,1,870.996,0.010076,12.31,
73,761,0,1,787.576,0.010086,12.41,
74,909,0,1,983.653,0.010090,11.28,
75,936,0,1,1071.243,0.010090,10.73,
76,978,0,1,2974.255,0.010090,12.01,
77,924,0,1,1825.323,0.010090,11.17,
78,850,0,1,2396.275,0.010090,11.64,
79,819,0,1,1042.429,0.010091,11.69,
80,778,0,1,957.409,0.010071,11.87,
81,748,0,1,1232.064,0.010088,11.29,
82,778,0,1,754.726,0.010019,11.69,
83,764,0,1,808.104,0.010090,13.86,
84,881,0,1,991.540,0.010090,13.09,
85,792,0,1,1100.779,0.010091,12.34,
86,856,0,1,859.315,0.010025,14.13,
87,748,0,1,893.903,0.010091,11.88,
88,748,0,1,854.893,0.010090,13.79,
89,718,0,1,768.127,0.010091,10.38,
90,707,0,1,815.718,0.010091,14.26,
91,647,0,1,860.278,0.010090,11.36,
92,553,0,1,497.435,0.010087,11.53,
93,611,0,1,595.816,0.010091,9.33,
94,538,0,1,613.786,0.010091,10.29,
95,407,0,1,377.828,0.010092,9.75,
96,518,0,1,513.528,0.010090,9.76,
97,465,0,1,472.792,0.010091,9.68,
98,500,0,1,515.776,0.010090,8.94,
99,465,0,1,486.893,0.010090,9.33,
100,399,0,1,422.990,0.010090,8.76,
101,390,0,1,397.108,0.010090,10.31,
102,433,0,1,429.612,0.010090,9.31,
103,409,0,1,476.420,0.010091,9.18,
104,449,0,1,524.226,0.010090,8.83,
105,392,0,1,395.405,0.010091,9.61,
106,370,0,1,463.128,0.010093,8.81,
107,412,0,1,460.651,0.010092,8.12,
108,346,0,1,291.798,0.010082,7.57,
109,319,0,1,313.207,0.010091,8.37,
110,280,0,1,261.726,0.010091,9.40,
111,306,0,1,255.497,0.010091,8.15,
112,366,0,1,309.291,0.010090,9.16,
113,351,0,1,363.594,0.010063,8.81,
114,316,0,1,315.419,0.010091,9.79,
115,336,0,1,364.558,0.010090,8.50,
116,337,0,1,341.330,0.010090,7.43,
117,298,0,1,302.917,0.010091,8.09,
118,327,0,1,321.464,0.010091,8.61,
119,300,0,1,315.672,0.010091,12.76,
120,304,0,1,350.028,0.010091,9.74,
121,308,0,1,307.879,0.010091,9.06,
122,297,0,1,273.798,0.010093,7.74,
123,325,0,1,376.700,0.010092,8.22,
124,353,0,1,351.017,0.010090,8.73,
125,328,0,1,337.485,0.010092,7.73,
126,314,0,1,325.895,0.010093,10.89,
127,326,0,1,302.407,0.010093,7.73,
128,349,0,1,357.845,0.010091,8.32,
129,371,0,1,371.350,0.010091,8.38,
130,398,0,1,432.914,0.010091,8.40,
131,408,0,1,429.812,0.010091,8.31,
