z,init_n_neg,final_n_neg,feasible,L1_dev,wall_s
0,5220,0,1,262569.448,287.89
1,5232,0,1,318855.515,235.62
2,5289,0,1,321702.006,239.75
3,5261,0,1,252655.492,276.38
4,5204,0,1,291402.496,286.15
5,5236,0,1,241325.726,299.62
6,5211,0,1,242514.411,213.37
7,5099,0,1,220059.070,225.51
8,4898,0,1,214994.891,206.09
9,4645,0,1,197020.813,170.53
10,4568,0,1,178408.875,167.03
11,4673,0,1,156202.127,215.58
12,4902,0,1,180159.004,61.65
13,4993,0,1,185131.241,53.24
14,4835,0,1,184742.298,44.08
15,4465,0,1,160840.907,35.64
16,3678,0,1,91421.872,56.09
17,2866,0,1,54894.153,178.99
18,2009,0,1,9588.633,153.21
19,1635,0,1,3822.845,43.89
20,1330,0,1,4584.216,13.84
21,1099,0,1,24978.297,24.73
22,775,0,1,511.055,13.47
23,653,0,1,472.725,6.97
24,753,0,1,667.127,9.82
25,924,0,1,2182.357,8.11
26,1032,0,1,1656.074,9.50
27,997,0,1,2819.146,10.27
28,857,0,1,1892.431,11.78
29,793,0,1,2965.142,9.03
30,872,0,1,1581.671,9.90
31,838,0,1,1406.422,12.45
32,786,0,1,1546.585,11.53
33,713,0,1,1397.268,10.89
34,629,0,1,736.129,10.58
35,661,0,1,695.084,10.23
36,601,0,1,645.988,13.24
37,641,0,1,657.729,12.90
38,641,0,1,848.128,11.73
39,660,0,1,1888.629,9.34
40,714,0,1,932.821,10.01
41,573,0,1,611.098,9.94
42,563,0,1,1756.613,9.66
43,567,0,1,610.023,9.02
44,526,0,1,620.431,10.84
45,551,0,1,706.441,10.28
46,599,0,1,686.929,9.94
47,562,0,1,606.482,21.41
48,559,0,1,534.864,7.98
49,589,0,1,719.978,10.07
50,702,0,1,700.864,10.51
51,649,0,1,705.505,9.99
52,666,0,1,1000.326,13.09
53,577,0,1,2369.456,9.80
54,730,0,1,1045.921,10.89
55,756,0,1,929.552,9.66
56,878,0,1,883.780,10.49
57,925,0,1,1051.261,10.64
58,906,0,1,1118.850,13.84
59,832,0,1,2288.581,13.30
60,907,0,1,1091.236,11.50
61,933,0,1,1209.365,11.80
62,899,0,1,2674.660,11.47
63,899,0,1,2861.974,10.66
64,858,0,1,1195.606,11.67
65,775,0,1,1084.767,12.31
66,746,0,1,685.453,12.64
67,665,0,1,629.904,9.37
68,741,0,1,766.404,10.37
69,757,0,1,828.898,13.98
70,826,0,1,842.467,13.35
71,873,0,1,980.689,11.80
72,821,0,1,870.996,10.95
73,761,0,1,787.576,10.80
74,909,0,1,983.600,11.01
75,936,0,1,1071.243,10.88
76,978,0,1,2974.255,12.29
77,924,0,1,1825.991,11.44
78,850,0,1,2396.275,11.96
79,819,0,1,1042.429,11.16
80,778,0,1,957.409,10.84
81,748,0,1,1231.969,10.66
82,778,0,1,754.720,11.22
83,764,0,1,808.104,13.31
84,881,0,1,991.540,13.17
85,792,0,1,1100.779,11.87
86,856,0,1,859.736,13.57
87,748,0,1,893.903,10.96
88,748,0,1,865.089,12.06
89,718,0,1,768.016,9.74
90,707,0,1,815.718,12.80
91,647,0,1,860.278,10.36
92,553,0,1,497.435,10.29
93,611,0,1,595.811,8.99
94,538,0,1,613.790,9.61
95,407,0,1,377.828,9.17
96,518,0,1,513.529,8.51
97,465,0,1,472.792,8.49
98,500,0,1,515.776,7.84
99,465,0,1,486.893,8.01
100,399,0,1,423.161,7.41
101,390,0,1,397.108,8.50
102,433,0,1,429.612,7.86
103,409,0,1,476.420,8.24
104,449,0,1,524.226,7.63
105,392,0,1,395.405,8.66
106,370,0,1,463.128,8.30
107,412,0,1,460.651,7.74
108,346,0,1,291.798,7.46
109,319,0,1,313.207,7.64
110,280,0,1,261.725,9.09
111,306,0,1,255.497,7.49
112,366,0,1,309.291,8.15
113,351,0,1,363.594,7.88
114,316,0,1,315.419,8.08
115,336,0,1,364.558,7.39
116,337,0,1,341.330,6.61
117,298,0,1,302.917,7.18
118,327,0,1,321.464,7.85
119,300,0,1,315.670,7.31
120,304,0,1,350.028,8.12
121,308,0,1,307.879,7.91
122,297,0,1,273.798,6.92
123,325,0,1,376.690,7.56
124,353,0,1,351.017,7.73
125,328,0,1,337.485,7.34
126,314,0,1,325.895,7.18
127,326,0,1,302.407,7.14
128,349,0,1,357.845,7.86
129,371,0,1,371.350,7.90
130,398,0,1,432.914,7.94
131,408,0,1,429.809,7.52
132,340,0,1,384.088,7.45
133,432,0,1,415.420,7.80
134,447,0,1,447.529,7.68
135,475,0,1,475.119,7.81
136,495,0,1,538.154,7.94
137,480,0,1,416.394,8.51
138,415,0,1,437.880,7.67
139,428,0,1,392.595,8.40
140,452,0,1,455.417,7.73
141,436,0,1,381.010,8.21
142,364,0,1,290.486,8.56
143,399,0,1,383.604,8.65
144,418,0,1,394.939,8.82
145,412,0,1,399.349,7.80
146,496,0,1,1038.414,8.11
147,468,0,1,564.230,9.03
148,566,0,1,548.737,8.79
149,638,0,1,554.170,9.85
150,588,0,1,559.609,8.63
151,572,0,1,700.103,8.90
152,540,0,1,556.090,8.89
153,564,0,1,573.847,9.78
154,619,0,1,710.931,8.83
155,490,0,1,455.850,8.88
156,562,0,1,580.390,9.47
157,656,0,1,662.979,9.69
158,613,0,1,549.695,10.33
159,548,0,1,565.814,9.88
160,621,0,1,633.799,10.09
161,592,0,1,672.857,9.45
162,527,0,1,556.607,9.38
163,578,0,1,610.092,10.19
164,636,0,1,620.286,10.51
165,656,0,1,613.670,11.30
166,584,0,1,545.066,9.84
167,632,0,1,650.342,11.01
168,684,0,1,752.445,9.60
169,645,0,1,672.666,11.34
170,618,0,1,785.330,10.82
171,689,0,1,661.346,11.78
172,674,0,1,707.399,10.93
173,688,0,1,697.497,11.41
174,699,0,1,1176.456,10.62
175,778,0,1,914.004,10.44
176,841,0,1,923.984,10.66
177,815,0,1,876.712,11.86
178,828,0,1,915.152,11.24
179,841,0,1,1303.581,11.56
180,829,0,1,779.184,11.08
181,793,0,1,849.343,11.21
182,826,0,1,871.828,12.38
183,834,0,1,931.506,12.38
184,840,0,1,975.045,13.58
185,875,0,1,907.691,14.52
186,830,0,1,873.425,11.74
187,849,0,1,995.815,11.53
188,748,0,1,686.473,12.46
189,748,0,1,815.378,12.21
190,820,0,1,873.339,11.52
191,949,0,1,1032.107,11.98
192,903,0,1,1065.741,11.93
193,894,0,1,920.434,11.80
194,889,0,1,996.526,11.83
195,838,0,1,1221.247,11.11
196,882,0,1,987.679,11.64
197,984,0,1,1470.692,13.08
198,1042,0,1,2699.305,15.20
199,1053,0,1,1492.338,12.51
200,1003,0,1,1076.142,12.72
201,1004,0,1,973.524,13.76
202,1056,0,1,2685.427,13.02
203,1202,0,1,2130.301,14.61
204,1173,0,1,2019.383,14.54
205,1134,0,1,2393.791,12.50
206,1385,0,1,3506.242,12.87
207,1415,0,1,2635.106,16.44
208,1472,0,1,3528.126,13.15
209,1303,0,1,1298.652,15.12
210,1239,0,1,1195.683,13.98
211,1371,0,1,2322.715,15.20
212,1351,0,1,1745.426,13.11
213,1455,0,1,1523.152,14.85
214,1438,0,1,1540.913,13.98
215,1383,0,1,1326.446,13.94
216,1368,0,1,1410.548,13.33
217,1380,0,1,1361.412,13.66
218,1373,0,1,1655.209,13.65
219,1406,0,1,1556.344,13.18
220,1135,0,1,1130.671,12.20
221,1083,0,1,1150.127,11.75
222,1274,0,1,1445.039,13.30
223,1131,0,1,1225.843,12.44
224,1279,0,1,1390.883,12.62
225,1202,0,1,1299.811,12.56
226,1087,0,1,1041.075,11.73
227,1366,0,1,2239.938,13.43
228,1389,0,1,2354.483,12.50
229,1403,0,1,2515.073,13.12
230,1372,0,1,2947.722,14.09
231,1347,0,1,1441.931,12.66
232,1520,0,1,1786.610,13.68
233,1424,0,1,1842.423,13.70
234,1460,0,1,2014.056,13.06
235,1228,0,1,1529.437,12.48
236,1253,0,1,1413.087,12.69
237,1375,0,1,1533.979,13.84
238,1479,0,1,2296.650,13.08
239,1422,0,1,1540.666,13.48
240,1565,0,1,2013.642,13.12
241,1622,0,1,1979.472,12.65
242,1674,0,1,2392.184,14.37
243,1726,0,1,2996.081,15.60
244,1672,0,1,2057.259,15.49
245,1607,0,1,1842.168,15.90
246,1548,0,1,1756.666,18.33
247,1617,0,1,1880.422,15.23
248,1711,0,1,1910.266,19.55
249,1606,0,1,1875.363,18.76
250,1594,0,1,1885.248,32.83
251,1452,0,1,1640.814,17.60
252,1614,0,1,1904.416,18.79
253,1397,0,1,1663.237,16.21
254,1474,0,1,1736.164,16.45
255,1458,0,1,1766.810,16.77
256,1247,0,1,1478.588,16.44
257,1281,0,1,1458.345,16.44
258,1385,0,1,1564.959,18.26
259,1461,0,1,1623.413,17.29
260,1455,0,1,1784.370,19.69
261,1461,0,1,1805.175,20.80
262,1497,0,1,1865.470,22.50
263,1647,0,1,2065.099,18.07
264,1547,0,1,1729.633,19.54
265,1476,0,1,1715.148,15.91
266,1505,0,1,1870.222,14.54
267,1564,0,1,1869.067,15.85
268,1440,0,1,1804.981,16.49
269,1376,0,1,1747.467,15.27
270,1318,0,1,1377.422,18.52
271,1386,0,1,1435.173,19.77
272,1499,0,1,1707.077,20.51
273,1455,0,1,1739.269,22.48
274,1419,0,1,1524.167,18.80
275,1690,0,1,2095.160,20.42
276,1564,0,1,2363.772,15.43
277,1618,0,1,1905.935,15.88
278,1695,0,1,1848.788,16.71
279,1764,0,1,2480.506,16.99
280,1634,0,1,2757.937,15.65
281,1744,0,1,2912.946,16.37
282,1734,0,1,2058.002,19.27
283,1573,0,1,2070.663,17.76
284,1607,0,1,2132.211,15.91
285,1380,0,1,1589.359,14.92
286,1526,0,1,1749.565,17.49
287,1563,0,1,1716.795,19.21
288,1537,0,1,1666.121,20.01
289,1720,0,1,2052.694,19.51
290,1709,0,1,2073.657,19.54
291,1737,0,1,2003.282,18.83
292,1978,0,1,2534.252,20.54
293,1970,0,1,2424.755,19.11
294,1955,0,1,2375.033,19.91
295,1823,0,1,2025.613,21.74
296,1852,0,1,2269.611,21.83
297,1967,0,1,2712.905,20.93
298,1844,0,1,2010.982,20.14
299,1722,0,1,1987.160,18.02
300,1847,0,1,2077.860,18.51
301,1830,0,1,2146.942,17.96
302,1826,0,1,1981.069,19.02
303,1840,0,1,2066.118,17.69
304,1745,0,1,1999.474,17.24
305,1644,0,1,1816.257,17.60
306,1636,0,1,2061.783,16.30
307,1855,0,1,2133.228,17.22
308,1683,0,1,1766.206,17.09
309,1683,0,1,2063.100,17.44
310,1623,0,1,1751.732,29.94
311,1670,0,1,1873.428,17.26
312,1656,0,1,1894.768,17.80
313,1702,0,1,2120.693,17.56
314,1790,0,1,2705.531,17.62
315,1850,0,1,1990.933,17.98
316,1660,0,1,1999.086,17.46
317,1532,0,1,1715.502,17.32
318,1543,0,1,1758.735,18.01
319,1583,0,1,1594.165,18.13
320,1514,0,1,1565.048,16.96
321,1522,0,1,1621.451,16.34
322,1721,0,1,1950.058,15.95
323,1693,0,1,1809.802,16.49
324,1702,0,1,1870.313,17.69
325,1674,0,1,2035.805,17.65
326,1799,0,1,3151.241,17.06
327,1802,0,1,1993.091,16.05
328,1622,0,1,1764.351,17.43
329,2069,0,1,2544.423,17.77
330,1992,0,1,2296.065,17.02
331,1931,0,1,2079.805,16.82
332,1809,0,1,2340.827,17.19
333,1804,0,1,2228.552,18.09
334,1908,0,1,2218.360,16.92
335,1933,0,1,2159.684,17.16
336,1923,0,1,3283.175,17.81
337,1915,0,1,2607.710,16.29
338,1741,0,1,2007.656,17.51
339,1746,0,1,2104.885,16.10
340,1625,0,1,1600.942,16.16
341,1591,0,1,1840.829,17.02
342,1609,0,1,1780.405,22.91
343,1543,0,1,1737.083,23.01
344,1609,0,1,1811.484,22.90
345,1563,0,1,2337.291,21.17
346,1664,0,1,1828.602,21.26
347,1706,0,1,2115.543,17.18
348,1694,0,1,1897.027,17.52
349,1826,0,1,2565.484,17.99
350,1661,0,1,1934.701,17.91
351,1817,0,1,3490.406,16.05
352,1638,0,1,1844.209,16.61
353,1833,0,1,2159.957,17.47
354,1892,0,1,4569.455,16.89
355,1869,0,1,4670.006,18.59
356,1932,0,1,2520.344,20.67
357,2189,0,1,5981.497,19.20
358,2216,0,1,5785.039,15.90
359,1923,0,1,5846.547,15.51
360,2012,0,1,4267.872,15.66
361,1664,0,1,1972.067,19.53
362,1676,0,1,1962.839,15.74
363,1490,0,1,1664.258,14.25
364,1602,0,1,2318.247,14.53
365,1574,0,1,1713.231,13.96
366,1492,0,1,2400.782,14.16
367,1477,0,1,1618.989,14.75
368,1311,0,1,1282.615,13.24
369,1249,0,1,1331.895,13.39
370,1367,0,1,1453.017,14.03
371,1568,0,1,1821.379,14.62
372,1474,0,1,1947.923,14.06
373,1478,0,1,2704.610,14.71
374,1499,0,1,1785.134,12.93
375,1319,0,1,1485.279,13.70
376,1286,0,1,1569.099,12.60
377,1303,0,1,1543.645,12.67
378,1310,0,1,2189.110,13.50
379,1381,0,1,2366.743,13.26
380,1106,0,1,1242.976,11.66
381,1087,0,1,1268.833,11.79
382,1176,0,1,1276.375,12.16
383,1179,0,1,1340.835,12.74
384,1157,0,1,1489.143,12.81
385,1157,0,1,1263.766,12.28
386,1188,0,1,1368.605,12.83
387,1144,0,1,1381.104,11.83
388,1262,0,1,1387.587,12.71
389,1182,0,1,1594.236,11.82
390,1096,0,1,1817.522,12.66
391,1097,0,1,2681.570,11.94
392,1095,0,1,1686.978,12.17
393,1119,0,1,1327.456,12.82
394,1140,0,1,1323.209,12.52
395,1124,0,1,1166.129,13.17
396,1234,0,1,1372.917,12.75
397,1207,0,1,1250.707,11.92
398,1163,0,1,1385.067,12.02
399,1156,0,1,1408.078,12.22
400,1348,0,1,1455.223,12.82
401,1369,0,1,1581.194,14.15
402,1393,0,1,2397.912,13.89
403,1313,0,1,1408.490,13.16
404,1403,0,1,1741.813,13.66
405,1422,0,1,1725.848,16.21
406,1533,0,1,1764.922,14.77
407,1588,0,1,1818.259,14.69
408,1596,0,1,1809.787,16.24
409,1550,0,1,1759.259,13.21
410,1586,0,1,2145.306,13.48
411,1585,0,1,1974.081,14.00
412,1470,0,1,1590.521,13.39
413,1599,0,1,1862.396,14.15
414,1476,0,1,1701.209,12.88
415,1519,0,1,1539.150,14.65
416,1475,0,1,1689.532,12.97
417,1564,0,1,2899.238,12.26
418,1499,0,1,1804.136,11.72
419,1724,0,1,1974.362,12.81
420,1710,0,1,3097.349,12.84
421,1683,0,1,2829.485,13.95
422,1586,0,1,3861.681,11.86
423,1170,0,1,1877.283,11.64
424,1136,0,1,1426.777,11.59
425,1262,0,1,1598.172,12.58
426,1277,0,1,1320.664,12.00
427,1230,0,1,1221.160,11.20
428,1138,0,1,1367.456,12.15
429,1121,0,1,1276.259,11.66
430,1086,0,1,1186.077,11.53
431,1088,0,1,1218.320,11.97
432,1270,0,1,1470.505,12.38
433,1319,0,1,1451.580,13.59
434,1354,0,1,1513.449,14.99
435,1402,0,1,1550.244,14.43
436,1297,0,1,1440.253,13.81
437,1407,0,1,1529.628,13.20
438,1371,0,1,1450.055,13.10
439,1515,0,1,1789.246,13.68
440,1372,0,1,1514.078,14.35
441,1556,0,1,2390.010,14.26
442,1596,0,1,1719.753,14.70
443,1759,0,1,2126.327,15.23
444,1653,0,1,1855.178,14.19
445,1514,0,1,2123.725,14.36
446,1556,0,1,2224.842,14.50
447,1491,0,1,1687.582,20.22
448,1392,0,1,1574.993,13.95
449,1329,0,1,1580.694,13.58
450,1432,0,1,2371.667,14.05
451,1392,0,1,1679.523,13.61
452,1365,0,1,1521.645,12.86
453,1282,0,1,1394.381,12.97
454,1346,0,1,1383.105,13.11
455,1367,0,1,1478.039,13.80
456,1554,0,1,2175.732,14.54
457,1546,0,1,1840.786,13.75
458,1411,0,1,2229.271,14.92
459,1226,0,1,1336.982,13.74
460,1486,0,1,1450.394,15.05
461,1536,0,1,2845.092,14.78
462,1527,0,1,2345.323,14.42
463,1539,0,1,1629.255,13.30
464,1535,0,1,1742.065,14.28
465,1517,0,1,1793.406,13.12
466,1411,0,1,1783.130,13.74
467,1242,0,1,1388.944,11.97
468,1174,0,1,1328.798,12.30
469,1307,0,1,1496.624,13.74
470,1292,0,1,1551.161,13.82
471,1370,0,1,1431.673,12.87
472,1325,0,1,1603.733,12.52
473,1220,0,1,1365.887,14.16
474,1227,0,1,1476.494,11.38
475,1196,0,1,1466.766,12.53
476,1160,0,1,1273.593,12.44
477,1099,0,1,1125.980,13.47
478,1251,0,1,1568.420,12.56
479,1121,0,1,1223.803,14.45
480,1098,0,1,1231.473,13.23
481,1126,0,1,1215.707,12.63
482,1099,0,1,1337.297,12.59
483,1246,0,1,1606.469,12.74
484,1229,0,1,2341.593,12.55
485,1266,0,1,1384.791,12.39
486,1269,0,1,1372.794,12.66
487,1291,0,1,1605.054,13.46
488,1314,0,1,1356.986,15.38
489,1285,0,1,1478.700,15.60
490,1221,0,1,1302.408,16.29
491,1225,0,1,2013.795,13.83
492,1237,0,1,1418.027,16.72
493,1183,0,1,1500.901,14.52
494,1181,0,1,1728.267,13.26
495,1098,0,1,1230.383,12.89
496,1260,0,1,1527.030,14.51
497,1135,0,1,1329.171,12.44
498,1187,0,1,1431.209,12.01
499,1168,0,1,1259.538,15.02
500,1186,0,1,1407.058,11.63
501,1176,0,1,1954.243,14.14
502,1166,0,1,2028.248,11.60
503,1283,0,1,1664.918,14.18
504,1270,0,1,1424.072,13.59
505,1285,0,1,1467.670,15.25
506,1251,0,1,1684.055,25.15
507,1200,0,1,2568.653,12.83
508,1177,0,1,1387.865,13.22
509,1113,0,1,1318.249,11.94
510,1272,0,1,1413.501,12.90
511,1210,0,1,1371.653,13.21
512,1281,0,1,1338.531,13.27
513,1118,0,1,1253.284,10.78
514,955,0,1,986.068,10.18
515,894,0,1,1214.168,9.71
516,1002,0,1,1077.044,11.11
517,992,0,1,984.551,11.88
518,901,0,1,967.682,9.42
519,842,0,1,1263.638,9.16
520,767,0,1,728.030,10.72
521,730,0,1,884.882,9.31
522,835,0,1,895.649,9.19
523,890,0,1,1311.655,9.63
524,983,0,1,2340.994,23.67
525,1064,0,1,2065.078,8.47
526,1098,0,1,2909.538,9.13
527,551,0,1,402.163,5.63
